Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6716867469879518,0.661562715880721,0.6716867469879518,0.6634594354972884
Decision Tree,0.5793172690763052,0.5794053799922863,0.5793172690763052,0.5791251652574643
Random Forest,0.6430722891566265,0.6344824096589362,0.6430722891566265,0.6349202460163771
